Date,Monthly Usage
2015-04-01,"11,835,937"
2015-05-01,"16,240,033"
2015-06-01,"15,364,888"
2015-07-01,"19,362,677"
2015-08-01,"19,753,990"
2015-09-01,"19,471,891"
2015-10-01,"16,860,290"
2015-11-01,"12,417,708"
2015-12-01,"13,715,766"
2016-01-01,"14,430,242"
2016-02-01,"13,659,721"
2016-03-01,"12,866,252"
2016-04-01,"14,387,831"
2016-05-01,"16,609,837"
2016-06-01,"19,053,342"
2016-07-01,"20,879,590"
2016-08-01,"19,613,698"
2016-09-01,"20,066,600"
2016-10-01,"16,555,283"
2016-11-01,"12,695,141"
2016-12-01,"14,169,322"
2017-01-01,"13,721,326"
2017-02-01,"13,033,209"
2017-03-01,"14,202,005"
2017-04-01,"14,514,657"
2017-05-01,"18,455,583"
2017-06-01,"18,212,985"
2017-07-01,"22,703,050"
2017-08-01,"21,690,556"
2017-09-01,"18,554,642"
2017-10-01,"17,063,945"
2017-11-01,"13,163,208"
2017-12-01,"14,494,295"
2018-01-01,"14,845,167"
2018-02-01,"13,453,922"
2018-03-01,"15,261,567"
2018-04-01,"14,299,897"
2018-05-01,"18,701,609"
2018-06-01,"21,030,943"
2018-07-01,"22,690,434"
2018-08-01,"22,502,325"
2018-09-01,"18,093,455"
2018-10-01,"17,012,716"
2018-11-01,"13,414,672"
2018-12-01,"15,178,368"
2019-01-01,"15,160,634"
2019-02-01,"13,172,865"
2019-03-01,"14,627,669"
2019-04-01,"15,089,663"
2019-05-01,"19,556,189"
2019-06-01,"22,895,927"
2019-07-01,"23,866,380"
2019-08-01,"23,619,076"
2019-09-01,"23,786,875"
2019-10-01,"17,221,592"
2019-11-01,"13,381,177"
2019-12-01,"14,803,557"
2020-01-01,"15,444,715"
2020-02-01,"14,694,702"
2020-03-01,"11,431,460"
2020-04-01,"9,995,585"
2020-05-01,"15,549,008"
2020-06-01,"20,574,930"
2020-07-01,"23,461,897"
2020-08-01,"22,984,482"
2020-09-01,"23,981,411"
2020-10-01,"19,117,695"
2020-11-01,"13,607,253"
2020-12-01,"16,057,861"
2021-01-01,"15,633,224"
2021-02-01,"14,834,012"
2021-03-01,"15,965,732"
