Date,Usage
1-Apr-15,3734
2-Apr-15,3709
3-Apr-15,3188
4-Apr-15,3721
5-Apr-15,3685
6-Apr-15,3481
7-Apr-15,3667
8-Apr-15,3498
9-Apr-15,4011
10-Apr-15,4033
11-Apr-15,4337
12-Apr-15,3734
13-Apr-15,3712
14-Apr-15,4146
15-Apr-15,4456
16-Apr-15,4025
17-Apr-15,4159
18-Apr-15,4339
19-Apr-15,4492
20-Apr-15,4666
21-Apr-15,5317
22-Apr-15,5247
23-Apr-15,5153
24-Apr-15,5710
25-Apr-15,5761
26-Apr-15,5553
27-Apr-15,5415
28-Apr-15,5283
29-Apr-15,5965
30-Apr-15,5751
1-May-15,6027
2-May-15,5945
3-May-15,6009
4-May-15,5701
5-May-15,6173
6-May-15,6400
7-May-15,6543
8-May-15,6621
9-May-15,6855
10-May-15,6789
11-May-15,6353
12-May-15,6042
13-May-15,6746
14-May-15,5156
15-May-15,6088
16-May-15,5714
17-May-15,6203
18-May-15,6109
19-May-15,6756
20-May-15,5155
21-May-15,6424
22-May-15,6782
23-May-15,6793
24-May-15,6540
25-May-15,6710
26-May-15,7147
27-May-15,7207
28-May-15,6946
29-May-15,6935
30-May-15,6961
31-May-15,7145
1-Jun-15,5581.06
2-Jun-15,5270.55
3-Jun-15,5627.22
4-Jun-15,5334.14
5-Jun-15,6055.92
6-Jun-15,0
7-Jun-15,6643.11
8-Jun-15,6584.82
9-Jun-15,6809.42
10-Jun-15,7352.45
11-Jun-15,6798.89
12-Jun-15,7581.29
13-Jun-15,0
14-Jun-15,5468.6
15-Jun-15,5448.92
16-Jun-15,6279.98
17-Jun-15,6765.25
18-Jun-15,7201.81
19-Jun-15,7380.97
20-Jun-15,0
21-Jun-15,7477.52
22-Jun-15,6745.6
23-Jun-15,7595.62
24-Jun-15,6932.18
25-Jun-15,4948.57
26-Jun-15,6721.07
27-Jun-15,7160.61
28-Jun-15,7449.4
29-Jun-15,7560.03
30-Jun-15,5935.9
1-Jul-15,7064
2-Jul-15,7479
3-Jul-15,7684
4-Jul-15,7480
5-Jul-15,7919
6-Jul-15,7473
7-Jul-15,6621
8-Jul-15,7297
9-Jul-15,7482
10-Jul-15,7122
11-Jul-15,5570
12-Jul-15,4329
13-Jul-15,3491
14-Jul-15,5396
15-Jul-15,6606
16-Jul-15,6697
17-Jul-15,6539
18-Jul-15,6798
19-Jul-15,6486
20-Jul-15,6296
21-Jul-15,6502
22-Jul-15,7259
23-Jul-15,7354
24-Jul-15,7690
25-Jul-15,7631
26-Jul-15,7468
27-Jul-15,6722
28-Jul-15,7650
29-Jul-15,7765
30-Jul-15,7585
31-Jul-15,7464
1-Aug-15,7608
2-Aug-15,7269
3-Aug-15,6808
4-Aug-15,7269
5-Aug-15,7496
6-Aug-15,7402
7-Aug-15,7238
8-Aug-15,6747
9-Aug-15,6531
10-Aug-15,6812
11-Aug-15,6623
12-Aug-15,6096
13-Aug-15,6893
14-Aug-15,7077
15-Aug-15,6852
16-Aug-15,5365
17-Aug-15,6019
18-Aug-15,6384
19-Aug-15,6386
20-Aug-15,7294
21-Aug-15,7271
22-Aug-15,7090
23-Aug-15,7125
24-Aug-15,6320
25-Aug-15,7422
26-Aug-15,7665
27-Aug-15,8034
28-Aug-15,8113
29-Aug-15,8005
30-Aug-15,7609
31-Aug-15,7627
1-Sep-15,8070
2-Sep-15,7988
3-Sep-15,7540
4-Sep-15,8028
5-Sep-15,7969
6-Sep-15,7693
7-Sep-15,7577
8-Sep-15,8103
9-Sep-15,8232
10-Sep-15,8050
11-Sep-15,8146
12-Sep-15,8169
13-Sep-15,8387
14-Sep-15,7887
15-Sep-15,8243
16-Sep-15,8238
17-Sep-15,7066
18-Sep-15,7802
19-Sep-15,6109
20-Sep-15,6606
21-Sep-15,4871
22-Sep-15,6181
23-Sep-15,5009
24-Sep-15,5441
25-Sep-15,5606
26-Sep-15,5904
27-Sep-15,6202
28-Sep-15,5892
29-Sep-15,6415
30-Sep-15,5802
1-Oct-15,5709
2-Oct-15,5674
3-Oct-15,5197
4-Oct-15,5709
5-Oct-15,5583
6-Oct-15,6038
7-Oct-15,6366
8-Oct-15,6358
9-Oct-15,6096
10-Oct-15,6203
11-Oct-15,6168
12-Oct-15,5712
13-Oct-15,5674
14-Oct-15,6188
15-Oct-15,5408
16-Oct-15,5371
17-Oct-15,5637
18-Oct-15,5420
19-Oct-15,5208
20-Oct-15,5402
21-Oct-15,5267
22-Oct-15,5008
23-Oct-15,4326
24-Oct-15,4570
25-Oct-15,4596
26-Oct-15,4122
27-Oct-15,4424
28-Oct-15,4354
29-Oct-15,3574
30-Oct-15,3936
31-Oct-15,3995
1-Nov-15,3865
2-Nov-15,3544
3-Nov-15,4066
4-Nov-15,3857
5-Nov-15,4073
6-Nov-15,3815
